eid,eulerLeft,eulerRight,site
sub-NDARAC349YUC,114,90,Site-CBIC
sub-NDARAC350BZ0,77,34,Site-CBIC
sub-NDARAC350XUM,278,265,Site-CBIC
sub-NDARAC857HDB,338,337,Site-CBIC
sub-NDARAD615WLJ,129,95,Site-CBIC
sub-NDARAG115LZP,25,22,Site-CBIC
sub-NDARAH793FBF,101,50,Site-CBIC
sub-NDARAT680GJA,51,25,Site-CBIC
sub-NDARBA381JGH,151,141,Site-CBIC
sub-NDARBF851NH6,31,39,Site-CBIC
sub-NDARBG188RA5,25,32,Site-CBIC
sub-NDARBH992ARB,71,75,Site-CBIC
sub-NDARBK638HLZ,409,373,Site-CBIC
sub-NDARBL214YLX,398,366,Site-CBIC
sub-NDARBN365EV3,39,34,Site-CBIC
sub-NDARBR128UFP,271,273,Site-CBIC
sub-NDARBU098PJT,308,375,Site-CBIC
sub-NDARBV167RMU,22,26,Site-CBIC
sub-NDARBZ913ZB9,612,518,Site-CBIC
sub-NDARCF052AE0,34,45,Site-CBIC
sub-NDARCG159AAP,64,34,Site-CBIC
sub-NDARCG808HDJ,61,71,Site-CBIC
sub-NDARCH889NUF,144,139,Site-CBIC
sub-NDARCM811CV1,37,19,Site-CBIC
sub-NDARCR582GKJ,28,30,Site-CBIC
sub-NDARCU736GZ1,184,158,Site-CBIC
sub-NDARCU744XWL,428,443,Site-CBIC
sub-NDARCV606ZZ5,27,29,Site-CBIC
sub-NDARCW497XW2,82,75,Site-CBIC
sub-NDARDD854GF8,32,19,Site-CBIC
sub-NDARDE597GKQ,315,458,Site-CBIC
sub-NDARDE877RFH,57,55,Site-CBIC
sub-NDARDF374LGN,102,89,Site-CBIC
sub-NDARDG929LYJ,38,27,Site-CBIC
sub-NDARDH086ZKK,68,52,Site-CBIC
sub-NDARDL305BT8,70,48,Site-CBIC
sub-NDARDN393BJH,40,45,Site-CBIC
sub-NDARDR439HY2,25,26,Site-CBIC
sub-NDARDV245WJG,151,150,Site-CBIC
sub-NDARDY714NV9,154,175,Site-CBIC
sub-NDARDY776AKH,34,26,Site-CBIC
sub-NDAREE675XRY,46,36,Site-CBIC
sub-NDAREF888EVV,202,211,Site-CBIC
sub-NDAREG930XPP,230,306,Site-CBIC
sub-NDAREH852JE0,100,72,Site-CBIC
