eid,eulerLeft,eulerRight,site
sub-NDARAA948VFH,67,59,Site-RU
sub-NDARAC495TJ2,38,30,Site-RU
sub-NDARAC853DTE,636,569,Site-RU
sub-NDARAC904DMU,341,374,Site-RU
sub-NDARAD224CRB,39,28,Site-RU
sub-NDARAD232HVV,323,211,Site-RU
sub-NDARAD774HAZ,223,219,Site-RU
sub-NDARAE012DGA,49,38,Site-RU
sub-NDARAE270LEZ,131,68,Site-RU
sub-NDARAE358VBE,150,92,Site-RU
sub-NDARAG340ERT,62,49,Site-RU
sub-NDARAH304ED7,52,25,Site-RU
sub-NDARAH503YG1,39,37,Site-RU
sub-NDARAH948UF0,29,25,Site-RU
sub-NDARAJ689BVN,89,58,Site-RU
sub-NDARAK738BGC,22,16,Site-RU
sub-NDARAM675UR8,200,221,Site-RU
sub-NDARAM848GTE,284,279,Site-RU
sub-NDARAN262WK6,127,113,Site-RU
sub-NDARAN814UPR,221,183,Site-RU
sub-NDARAP176AD1,44,18,Site-RU
sub-NDARAP522AFK,302,270,Site-RU
sub-NDARAP782TVC,455,437,Site-RU
sub-NDARAP785CTE,66,57,Site-RU
sub-NDARAP964VDB,28,37,Site-RU
sub-NDARAT358XM9,21,19,Site-RU
sub-NDARAT581NDH,17,27,Site-RU
sub-NDARAU708TL8,52,37,Site-RU
sub-NDARAU967RWU,42,45,Site-RU
sub-NDARAV610EY3,91,62,Site-RU
sub-NDARAV820UEP,170,175,Site-RU
sub-NDARAW179AYF,45,48,Site-RU
sub-NDARAX272ZJL,51,42,Site-RU
sub-NDARAX283MAK,114,68,Site-RU
sub-NDARAX358NB5,206,147,Site-RU
sub-NDARAY283AU1,39,18,Site-RU
sub-NDARBC240LNC,90,46,Site-RU
sub-NDARBC734UVY,83,64,Site-RU
sub-NDARBE091BGD,322,276,Site-RU
sub-NDARBE123PWH,181,153,Site-RU
sub-NDARBE641DGZ,140,121,Site-RU
sub-NDARBF176LPM,408,292,Site-RU
sub-NDARBF805EHN,35,21,Site-RU
sub-NDARBG574KF4,134,169,Site-RU
sub-NDARBG831VK4,388,386,Site-RU
